manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Roland,FANTOM-07,Program Select,Bank Select,,0,32,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Controllers,Modulation,,1,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Controllers,Breath type,,2,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Controllers,Foot type,,4,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Pedals & Switches,Portamento Time,,5,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Data Entry,Data Entry,,6,38,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Mixer,Volume,,7,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Mixer,Panpot,,10,,0,127,,,,,,,centered,,
Roland,FANTOM-07,Controllers,Expression,,11,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Controllers,General Purpose Controller 1,,16,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,FANTOM-07,Controllers,General Purpose Controller 2,,17,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,FANTOM-07,Controllers,General Purpose Controller 3,,18,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,FANTOM-07,Controllers,General Purpose Controller 4,,19,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,FANTOM-07,Pedals & Switches,Hold 1,,64,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Roland,FANTOM-07,Pedals & Switches,Portamento,,65,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Roland,FANTOM-07,Pedals & Switches,Sostenuto,,66,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Roland,FANTOM-07,Pedals & Switches,Soft,,67,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Roland,FANTOM-07,Pedals & Switches,Legato Foot Switch,,68,,0,127,,,,,,,0-based,,0-63: Off; 64-127: On
Roland,FANTOM-07,Filter,Resonance,,71,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Envelope,Release Time,,72,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Envelope,Attack time,,73,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Filter,Cutoff,,74,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Envelope,Decay Time,,75,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Vibrato,Vibrato Rate,,76,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Vibrato,Vibrato Depth,,77,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Vibrato,Vibrato Delay,,78,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Controllers,General Purpose Controller 5,,80,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,FANTOM-07,Controllers,General Purpose Controller 6,,81,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,FANTOM-07,Controllers,General Purpose Controller 7,,82,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,FANTOM-07,Controllers,General Purpose Controller 8,,83,,0,127,,,,,,,0-based,Assignable controller; destination set on the instrument,
Roland,FANTOM-07,Pedals & Switches,Portamento control,,84,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Data Entry,RPN MSB/LSB,,100,101,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Mode Messages,All Sounds Off,,120,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Mode Messages,Reset All Controllers,,121,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Mode Messages,Local On/Off,,122,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Mode Messages,All Notes Off,,123,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Mode Messages,OMNI OFF,,124,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Mode Messages,OMNI ON,,125,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Mode Messages,MONO,,126,,0,127,,,,,,,0-based,,
Roland,FANTOM-07,Mode Messages,POLY,,127,,0,127,,,,,,,0-based,,
