manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
DSI,Evolver,,Modwheel,,1,,0,127,,,,,0-based,,
DSI,Evolver,,Breath,,2,,0,127,,,,,0-based,,
DSI,Evolver,,Footctrl,,4,,0,127,,,,,0-based,,
DSI,Evolver,,Volume,,7,,0,127,,,,,0-based,,
DSI,Evolver,,Xprssion,,11,,0,127,,,,,0-based,,
DSI,Evolver,,Distortn,,12,,0,127,,,,,0-based,,
DSI,Evolver,,HPF FRQ,,13,,0,127,,,,,0-based,,
DSI,Evolver,,OSC1 FRQ,,20,,0,127,,,,,0-based,,
DSI,Evolver,,OSC2 FRQ,,21,,0,127,,,,,0-based,,
DSI,Evolver,,OSC3 FRQ,,22,,0,127,,,,,0-based,,
DSI,Evolver,,OSC4 FRQ,,23,,0,127,,,,,0-based,,
DSI,Evolver,,OSC1 LVL,,24,,0,127,,,,,0-based,,
DSI,Evolver,,OSC2 LVL,,25,,0,127,,,,,0-based,,
DSI,Evolver,,OSC3 LVL,,26,,0,127,,,,,0-based,,
DSI,Evolver,,OSC4 LVL,,27,,0,127,,,,,0-based,,
DSI,Evolver,,OSC1 SHP,,28,,0,127,,,,,0-based,,
DSI,Evolver,,OSC2 SHP,,29,,0,127,,,,,0-based,,
DSI,Evolver,,OSC3 SHP,,30,,0,127,,,,,0-based,,
DSI,Evolver,,OSC4 SHP,,31,,0,127,,,,,0-based,,
DSI,Evolver,,FM43,,40,,0,127,,,,,0-based,,
DSI,Evolver,,FM34,,41,,0,127,,,,,0-based,,
DSI,Evolver,,RM43,,42,,0,127,,,,,0-based,,
DSI,Evolver,,RM34,,43,,0,127,,,,,0-based,,
DSI,Evolver,,FLT Freq,,52,,0,127,,,,,0-based,,
DSI,Evolver,,FLT Reso,,53,,0,127,,,,,0-based,,
DSI,Evolver,,FLT Enva,,54,,0,127,,,,,0-based,,
DSI,Evolver,,FLT Attk,,55,,0,127,,,,,0-based,,
DSI,Evolver,,FLT Dcay,,56,,0,127,,,,,0-based,,
DSI,Evolver,,FLT SUS,,57,,0,127,,,,,0-based,,
DSI,Evolver,,FLT REL,,58,,0,127,,,,,0-based,,
DSI,Evolver,,FLT Amod,,59,,0,127,,,,,0-based,,
DSI,Evolver,,FLT Splt,,60,,0,127,,,,,0-based,,
DSI,Evolver,,FLT Keya,,61,,0,127,,,,,0-based,,
DSI,Evolver,,Noiz LVL,,62,,0,127,,,,,0-based,,
DSI,Evolver,,Sustain,,64,,0,127,,,,,0-based,,
DSI,Evolver,,Brghtnss,,74,,0,127,,,,,0-based,,
DSI,Evolver,,AMP Attk,,75,,0,127,,,,,0-based,,
DSI,Evolver,,AMP Dcay,,76,,0,127,,,,,0-based,,
DSI,Evolver,,AMP SUS,,77,,0,127,,,,,0-based,,
DSI,Evolver,,AMP REL,,78,,0,127,,,,,0-based,,
DSI,Evolver,,FDB Freq,,85,,0,127,,,,,0-based,,
DSI,Evolver,,FDB LVL,,86,,0,127,,,,,0-based,,
DSI,Evolver,,DLY1 TIM,,102,,0,127,,,,,0-based,,
DSI,Evolver,,DLY2 TIM,,103,,0,127,,,,,0-based,,
DSI,Evolver,,DLY3 TIM,,104,,0,127,,,,,0-based,,
DSI,Evolver,,DLY1 AMT,,105,,0,127,,,,,0-based,,
DSI,Evolver,,DLY2 AMT,,106,,0,127,,,,,0-based,,
DSI,Evolver,,DLY3 AMT,,107,,0,127,,,,,0-based,,
DSI,Evolver,,DLY FDB1,,108,,0,127,,,,,0-based,,
DSI,Evolver,,DLY FDB2,,109,,0,127,,,,,0-based,,
